［取引先コード］,［取引先名］,［自社管理商品コード］,材料名,仕入量(g),仕入価格(\),［商品名］,［数量］,［単位］,単価,［金額］
1021,株式会社トーホーフードサービス　グループ,A0381253,マヨネーズ（卵黄タイプ）,1000,640,ＥＢ　マヨネーズ（卵黄タイプ）１ｋg,10,本,640,6400
1021,株式会社トーホーフードサービス　グループ,A0381278,むき玉ねぎ,1000,611,TDF　国産むき玉ねぎ（4～6玉）kg,4,kg,611,2444
1021,株式会社トーホーフードサービス　グループ,A0381444,ブロッシェンソーセージ,875,2020,ベスト　ＪＧＴブロッシェンソーセージ　３５　８７５ｇ,44,PC,2020,88880
1021,株式会社トーホーフードサービス　グループ,A0381532,雪 バラバター,20000,37000,雪印　バター食塩不使用バラＰＹ　ＲＮ　２０ｋ,30,C/S,37000,1110000
1021,株式会社トーホーフードサービス　グループ,A0381535,レモンタルタル,145,290,ＱＰ　具だくさんレモンタルタル　　　　　　　１４５ｇ,176,個,290,51040
1021,株式会社トーホーフードサービス　グループ,A0381545,トッピングチェダーソース,300,280,トッピングソース　チェダーチーズ入り　３００ｇ,39,PC,280,10920
1021,株式会社トーホーフードサービス　グループ,A0381546,雪 のびてるチーズ,500,600,雪印のびてるチーズソフトモッツァレラ入り500g,74,個,600,44400
1021,株式会社トーホーフードサービス　グループ,A0381551,ハーフ卵（半熟風）,300,384,スノーマンハーフタマゴ（半熟風）20ｇ/15,37,袋,384,14208
1021,株式会社トーホーフードサービス　グループ,A0381552,ギャバンタラゴン,50,547,ギャバン　タラゴンホール　50ｇ,3,個,547,1641
1021,株式会社トーホーフードサービス　グループ,A0381555,明太マヨソース,500,670,やまや　天着明太マヨソース  500g,115,個,670,77050
1024,株式会社ひのー,A0390048,ピスタチオ13.6㎏,13600,69768,USA ヒﾟスタチオ 脱皮 W 13.6K,1,C/S,69768,69768
1024,株式会社ひのー,A0390049,ピスタチオ1㎏,1000,5130,USA ヒﾟスタチオ 脱皮 W 1K,10,kg,5130,51300
1024,株式会社ひのー,A0390091,ホワイトチョコ1㎏,1000,2130,森永 チッフﾟチョコ ホワイト ハﾞラ,25,kg,2130,53250
1024,株式会社ひのー,A0390092,ホワイトチョコ10㎏,10000,21300,森永 チッフﾟチョコ ホワイト 10K,14,C/S,21300,298200
1024,株式会社ひのー,A0390162,渋皮マロン,1900,6500,角田 渋皮マロンAS ＃1,22,缶,6500,143000
1024,株式会社ひのー,A0390201,エメンタールダイス,1000,2600,ﾛﾙﾌ ｴﾒﾝﾀｰﾙ ﾀﾞｲｽ ｶｯﾄ ﾁｰｽﾞ,24,PC,2600,62400
1024,株式会社ひのー,A0390231,粗挽Bペッパー,420,1900,G 荒挽フﾞラックヘﾟッハﾟ－ 420g,1,缶,1900,1900
1024,株式会社ひのー,A0390236,WHペッパー,370,2100,SB ﾎﾜｲﾄﾍﾟｯﾊﾟｰ ﾊﾟｳﾀﾞｰ 370g,5,缶,2100,10500
1024,株式会社ひのー,A0390258,GターメリックPWD,1000,2630,G ﾀｰﾒﾘｯｸﾊﾟｳﾀﾞｰ 1K,2,PC,2630,5260
1024,株式会社ひのー,A0390267,SBターメリックPWD,400,960,SB ﾀｰﾒﾘｯｸﾊﾟｳﾀﾞｰ L 400g,1,缶,960,960
1024,株式会社ひのー,A0390419,ビターチョコフラワーペースト,1000,810,田中 ﾋﾞﾀｰﾁｮｺﾌﾗﾜｰﾍﾟｰｽﾄ 1K,54,PC,810,43740
1024,株式会社ひのー,A0390425,プチールVBカスター,1000,810,田中 ﾌﾟﾁｰﾙ VB ｶｽﾀｰN　1ｋ,18,PC,810,14580
1024,株式会社ひのー,A0390450,さつま甘露煮,1000,1290,ｶｾｲ さつま甘露煮 1k,55,PC,1290,70950
1024,株式会社ひのー,A0390458,ベーキングPWD,2000,2360,ｱｲｺｸ ﾍﾞｰｷﾝｸﾞﾊﾟｳﾀﾞｰ 白 ｱﾙﾐﾆｳﾑﾌﾘｰ 2K,7,缶,2360,16520
1024,株式会社ひのー,A0390472,ベイクドスライスポテト,1000,630,ｹﾝｺｰ ﾍﾞｲｸﾄﾞ ｽﾗｲｽﾎﾟﾃﾄ 1k,29,PC,630,18270
1024,株式会社ひのー,A0390592,冷凍むき枝豆500g,500,390,東洋水産 冷凍むき枝豆 500g,250,PC,390,97500
