Company_code,Company_name,ingredient_code,Quantity_per_pack,ingredient_name,Price
1024,株式会社ひのー,A0390231,420g×1・1.00,G 荒挽フﾞラックヘﾟッハﾟ－ 420g,1640
1024,株式会社ひのー,A0390232,420g・12.00／缶,G 荒挽ﾌﾞﾗｯｸﾍﾟｯﾊﾟｰ 420g,1640
1024,株式会社ひのー,A0390275,80g・12.00／缶,SB ﾊﾟｾﾘﾁｯﾌﾟ L 80g,780
1024,株式会社ひのー,A0390313,1ｋ・1.00／PC,SB ｼﾅﾓﾝ ﾊﾟｳﾀﾞｰ 1k,2410
1024,株式会社ひのー,A0390355,500ｇ・1.00／PC,ﾗ ･ ﾌﾟﾘﾒﾗ ｽﾓｰｸｻｰﾓﾝ 切り落し 500g,2440
1024,株式会社ひのー,A0390364,500ｇ・20.00／PC,ﾊｺﾞﾛﾓ ｼｰﾁｷﾝBE ﾌﾚｰｸ 液切不要 500g,730
1024,株式会社ひのー,A0390406,1ｋ・1.00／PC,ﾆﾝﾍﾞﾝ F ﾗﾀﾄｩｲﾕ 1k,1250
1024,株式会社ひのー,A0390419,1K・6.00／PC,田中 ﾋﾞﾀｰﾁｮｺﾌﾗﾜｰﾍﾟｰｽﾄ 1K,810
1024,株式会社ひのー,A0390425,1ｋ・4.00／C/S,田中 ﾌﾟﾁｰﾙ VB ｶｽﾀｰN　1ｋ,810
1024,株式会社ひのー,A0390435,1K・5.00／PC,ﾆﾝﾍﾞﾝF DFﾗﾀﾄｨﾕ 1K,1240.175439
1024,株式会社ひのー,A0390442,2ｋ・1.00／PC,田中製餡 黒豆 2k,2320
1024,株式会社ひのー,A0390450,1ｋ・1.00／PC,ｶｾｲ さつま甘露煮 1k,1290
1024,株式会社ひのー,A0390458,2K・6.00／缶,ｱｲｺｸ ﾍﾞｰｷﾝｸﾞﾊﾟｳﾀﾞｰ 白 ｱﾙﾐﾆｳﾑﾌﾘｰ 2K,2360
1024,株式会社ひのー,A0390464,20個・1.00／PC,QP とろーりやわらか たまご 35g×20 個,850
1024,株式会社ひのー,A0390472,1ｋ・1.00／PC,ｹﾝｺｰ ﾍﾞｲｸﾄﾞ ｽﾗｲｽﾎﾟﾃﾄ 1k,570
1024,株式会社ひのー,A0390482,820g・1.00／本,JC バジルペースト 820g,2460
1024,株式会社ひのー,A0390496,500g・10.00／PC,ﾘﾊﾞｰ&ｻﾝ ﾌﾗｲﾄﾞｵﾆｵﾝ 500g,970
1024,株式会社ひのー,A0390508,1K・1.00／PC,ﾄﾞﾗｲｸﾗﾝﾍﾞﾘｰ 1K,1010
1024,株式会社ひのー,A0390546,1K×1・1.00,けしの実 1K,1390
1024,株式会社ひのー,A0390552,500g・20.00／PC,ﾄﾛﾋﾟｶﾙﾏﾘｱ IQF ﾐｯｸｽﾍﾞﾘｰ 500g,830
1024,株式会社ひのー,A0390587,1kg・1.00／PC,カゴメ 冷凍カボチャピューレ 1K,1590
1024,株式会社ひのー,A0390592,500g・20.00／PC,東洋水産 冷凍むき枝豆 500g,390
1024,株式会社ひのー,A0390599,600g・10.00／PC,ｶｺﾞﾒ 地中海ｸﾞﾘﾙ野菜ﾐｯｸｽ 600g,740
1024,株式会社ひのー,A0390611,2K・5.00／PC,ﾀｶ 紅はるか蜜着 7.5DF 2K,2270
1024,株式会社ひのー,A0390692,1K・6.00／缶,ｸﾉｰﾙ ﾁｷﾝｺﾝｿﾒ 1K,2200
1024,株式会社ひのー,A0390703,1L・9.00／本,JFDA ｲﾀﾘｱﾝﾄﾞﾚｯｼﾝｸﾞ 1L,670
1024,株式会社ひのー,A0390708,1K・10.00／PC,QP NB ﾏｲﾙﾄﾞﾏﾖﾈｰｽﾞ ﾁｭｰﾌﾞ 1K,690
1024,株式会社ひのー,A0390714,1K×1・1.00,伯方 フル－ルトﾞセル 1K ハﾞラ,855
1024,株式会社ひのー,A0390779,1kg・1.00／PC,神尾 桜の花 1K,2650
1024,株式会社ひのー,A0390783,5L・3.00／本,ﾊﾟﾙﾃィﾆ ﾌﾞﾚﾝﾄﾞｵｲﾙ 5L,3000
1024,株式会社ひのー,A0390802,1.5L・1.00,日清　調合サラダ油1.5L,710
1024,株式会社ひのー,A0390841,1.00／kg,ｱﾒﾘｶ産 ひまわり種,1120
1024,株式会社ひのー,A0390863,25,オリエンタル VFイースト 500g,260
1024,株式会社ひのー,A0390880,720ml・1.00,ホﾟッカ レモン 100％ 720ml,830
1024,株式会社ひのー,A0390899,720ml・6.00／本,ﾎﾟｯｶ ﾚﾓﾝ 100 720ml,830
1024,株式会社ひのー,A0390921,1K・10.00／PC,ロルフ　Dプロセス赤8　1K,1850
1024,株式会社ひのー,A0390950,12.5k・1.00／C/S,ﾄﾙｺ産 ｻﾙﾀﾅﾚｰｽﾞﾝTYPE　8,9530
1024,株式会社ひのー,A0390970,1k・10.00／PC,ｱｽｸ IQF ｽﾄﾛﾍﾞﾘｰ 1K,1000
1024,株式会社ひのー,A0390973,＃1・1.00／缶,ラボンタ ダイストマト ＃1,1120
1024,株式会社ひのー,A0390976,11.34ｋ・1.00／C/S,ﾄﾞﾗｲｸﾗﾝﾍﾞﾘｰ 11.34K,11410
1024,株式会社ひのー,A0390979,500g・20.00／C/S,ｻﾌﾞｰﾙ 北海道産 ｶﾎﾞﾁｬﾀﾞｲｽｶｯﾄ   10mm   500g,390
1024,株式会社ひのー,A0390984,500g・1.00／PC,IQF ほうれん草   500g,355
